Label,LabelNum,PEAK,PMEAN,PEEP1,I,E,FTOT,VTE,VETOT,PR,SpO2
healthy_VC_Normal_30.0,0,13,6,2.8,1,2,13,430,5.6,59,99
healthy_VC_Normal_30.0,0,13,6,2.8,1,2,13,5.59,5.59,57,99
healthy_VC_Normal_30.0,0,13,6.1,3.6,1,2,13,5.58,5.58,59,99
healthy_VC_Normal_30.0,0,13,6,3,1,2,13,431,5.59,59,99
healthy_VC_Normal_30.0,0,13,6.3,3,1,2,13,433,5.92,59,99
healthy_VC_Normal_30.0,0,13,6.1,3.5,1,2,13,5.61,5.61,59,99
healthy_VC_Normal_30.0,0,13,6.1,3.1,1,2,13,5.61,5.61,59,99
healthy_VC_Normal_30.0,0,13,6.1,3.8,1,2,13,430,5.61,59,99
healthy_VC_Normal_30.0,0,13,6.2,3.7,1,2,13,433,5.63,59,99
healthy_VC_Normal_30.0,0,13,6.1,3.5,1,2,13,5.64,5.64,59,99
healthy_VC_Normal_30.0,0,13,6.1,3.5,1,2,13,5.65,5.65,59,99
healthy_VC_Normal_30.0,0,13,6.2,3.5,1,2,13,5.63,5.63,59,99
healthy_VC_Normal_30.0,0,13,6.1,2.9,1,2,13,5.65,5.65,57,99
healthy_VC_Normal_30.0,0,13,6.2,3.8,1,2,13,5.65,5.65,59,99
healthy_VC_Normal_30.0,0,13,6.1,3,1,2,13,5.68,5.68,59,99
healthy_VC_Normal_30.0,0,13,6.2,3.5,1,2,13,5.64,5.64,59,99
healthy_VC_Normal_30.0,0,13,6.1,3.6,1,2,13,5.65,5.65,59,99
healthy_VC_Normal_30.0,0,13,6.1,2.9,1,2,13,5.66,5.66,57,99
healthy_VC_STCleakage_30.0,1,13,6.1,3.6,1,2,13,439,5.69,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,5.71,5.71,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.8,1,2,13,5.72,5.72,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,438,5.7,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,439,5.72,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,438,5.7,58,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,440,5.72,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,439,5.71,57,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,440,5.72,57,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,439,5.71,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,5.73,5.73,58,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,439,5.71,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,440,5.72,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.8,1,2,13,439,5.71,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,439,5.7,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,440,5.72,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.7,1,2,13,440,5.72,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,439,5.71,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,439,5.71,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,439,5.72,58,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.8,1,2,13,439,5.71,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,5.72,5.72,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,5.73,5.73,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,5.73,5.73,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,5.73,5.73,58,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,440,5.72,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,441,5.73,57,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,441,5.73,58,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,5.75,5.75,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,440,5.73,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,5.73,5.73,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,439,5.72,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.5,1,2,13,5.72,5.72,57,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,439,5.71,59,99
healthy_VC_STCleakage_30.0,1,13,6.2,3.6,1,2,13,5.73,5.73,59,99
healthy_VC_MTCleakage_30.0,2,12,3.6,3.6,1,2,14,327,4.5,59,99
healthy_VC_MTCleakage_30.0,2,11,6.1,3.1,1,2,14,328,4.48,59,99
healthy_VC_MTCleakage_30.0,2,11,5.9,3.5,1,2,13,325,4.24,59,99
healthy_VC_MTCleakage_30.0,2,12,6,3.6,1,2,13,327,4.24,58,99
healthy_VC_MTCleakage_30.0,2,12,6.1,3.6,1,2,14,327,4.47,59,99
healthy_VC_MTCleakage_30.0,2,12,6.2,3.5,1,2,14,326,4.48,57,99
healthy_VC_MTCleakage_30.0,2,12,5.9,3.6,1,2,13,326,4.25,59,99
healthy_VC_MTCleakage_30.0,2,12,6.2,3.5,1,2,14,328,4.48,59,99
healthy_VC_MTCleakage_30.0,2,12,5.9,3.6,1,2,13,324,4.23,59,99
healthy_VC_MTCleakage_30.0,2,12,6,3.5,1,2,13,326,4.24,59,99
healthy_VC_MTCleakage_30.0,2,12,6,3.6,1,2,13,327,4.24,58,99
